"CropTyp","acr_sum","acr_sum_lessThan5","acr_sum_lessThan10"
"barley",2255,34,112
"barley hay",2597,103,298
"bean seed",440,3,27
"bean, dry",42497,316,888
"bean, garbanzo",1813,3,32
"bean, green",1917,16,76
"beet seed",626,3,3
"bluegrass seed",19994,75,174
"bromegrass seed",112,2,2
"buckwheat",6953,51,182
"cabbage",16,NA,NA
"canola",9513,42,78
"cantaloupe",6,6,6
"carrot",8667,32,99
"carrot seed",1259,12,85
"cilantro seed",261,1,17
"clover hay",136,3,12
"clover seed",189,NA,NA
"clover/grass hay",146,5,5
"corn seed",3710,593,977
"corn, field",198969,1998,5669
"corn, sweet",56578,384,986
"corn, unknown",79,1,9
"cucumber",37,NA,9
"dill",1119,2,19
"fescue seed",574,10,27
"garlic",41,NA,NA
"grass seed",5958,53,176
"green manure",325,9,50
"hemp",65,NA,NA
"kale",4,4,4
"legume cover",95,15,35
"medicinal herb",575,18,102
"melon, unknown",1,1,1
"mustard",932,5,5
"mustard seed",2,2,2
"oat",1290,17,60
"oat hay",1966,65,231
"onion",33496,177,566
"onion seed",398,22,56
"pea seed",375,25,51
"pea, dry",5760,60,113
"pea, green",22341,84,283
"pepper",626,13,19
"potato",167324,647,1706
"potato seed",438,7,16
"pumpkin",507,54,118
"radish seed",81,14,14
"rye",82,4,4
"ryegrass seed",520,6,6
"safflower seed",78,NA,NA
"seed, other",16,NA,NA
"sorghum",39,NA,NA
"soybean",247,9,25
"spinach",155,2,2
"squash",1289,30,45
"sudangrass",4008,72,216
"sugar beet",1878,6,6
"sugar beet seed",2186,NA,32
"sunflower",648,2,26
"sunflower seed",2024,52,79
"swiss chard seed",24,7,7
"tobacco",47,NA,NA
"tomato",18,NA,NA
"triticale",920,3,29
"triticale hay",1501,40,177
"vegetable, unknown",98,4,4
"watermelon",560,11,11
"wheat",198272,1403,4186
"wheat fallow",15108,116,419
"yellow mustard",2034,23,57
