"ID","DataSrc","Irrigtn","CropTyp","LstSrvD","county"
"6323_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6406_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6409_WSDA_SF_2017","wsda","big gun","cabbage seed","2017/08/23","Island"
"6867_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/23","Island"
"6874_WSDA_SF_2017","wsda","big gun","caneberry","2017/08/23","Island"
"6875_WSDA_SF_2017","wsda","big gun","corn, sweet","2017/08/23","Island"
"13994_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"13997_WSDA_SF_2017","wsda","drip","caneberry","2017/09/12","Clark"
"14022_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14030_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"14044_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14045_WSDA_SF_2017","wsda","drip","caneberry","2017/09/12","Clark"
"14066_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14113_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14114_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"14126_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14131_WSDA_SF_2017","wsda","big gun","corn, field","2017/10/12","Clark"
"14186_WSDA_SF_2017","producer","big gun","wheat","2017/09/08","Pierce"
"14189_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"14202_WSDA_SF_2017","wsda","big gun","pea, green","2017/05/11","Lewis"
"14255_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/07/26","Lewis"
"14270_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"14347_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14354_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14426_WSDA_SF_2017","wsda","big gun","corn, field","2017/08/09","Lewis"
"14427_WSDA_SF_2017","wsda","big gun","oat","2017/04/28","Lewis"
"14503_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/14","Clark"
"14547_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"14655_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"14705_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/14","Clark"
"14711_WSDA_SF_2017","wsda","big gun","oat","2017/09/14","Clark"
"14714_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14768_WSDA_SF_2017","wsda","big gun","barley","2017/08/09","Lewis"
"14861_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14862_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"14872_WSDA_SF_2017","wsda","big gun","clover hay","2017/07/26","Lewis"
"14890_WSDA_SF_2017","wsda","big gun","pea, green","2017/05/11","Lewis"
"14967_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"14968_WSDA_SF_2017","wsda","big gun","clover hay","2017/07/26","Lewis"
"15052_WSDA_SF_2017","wsda","big gun","corn, field","2017/05/11","Lewis"
"15149_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"15284_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15309_WSDA_SF_2017","wsda","sprinkler","oat hay","2017/10/24","Clark"
"15318_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15328_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15371_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15393_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15404_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15408_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15412_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15422_WSDA_SF_2017","wsda","big gun","caneberry","2017/10/12","Clark"
"15428_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15434_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15439_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15462_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15463_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15464_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15478_WSDA_SF_2017","wsda","big gun","barley","2017/09/15","Clark"
"15493_WSDA_SF_2017","wsda","big gun","barley","2017/09/15","Clark"
"15543_WSDA_SF_2017","wsda","big gun","barley","2017/09/14","Clark"
"15547_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15550_WSDA_SF_2017","wsda","big gun","caneberry","2017/10/13","Clark"
"15577_WSDA_SF_2017","wsda","wheel line","rhubarb","2017/09/15","Pierce"
"15598_WSDA_SF_2017","wsda","big gun","wheat","2017/07/26","Lewis"
"15657_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"15663_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"15735_WSDA_SF_2017","wsda","drip","caneberry","2017/09/15","Pierce"
"15741_WSDA_SF_2017","wsda","sprinkler/wheel line","cucumber","2017/08/15","Pierce"
"15748_WSDA_SF_2017","wsda","big gun","wheat","2017/09/08","Pierce"
"15750_WSDA_SF_2017","producer","big gun","pea, green","2017/09/08","Pierce"
"15760_WSDA_SF_2017","wsda","sprinkler","rutabaga","2017/09/15","Pierce"
"15768_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"15782_WSDA_SF_2017","wsda","big gun","wheat","2017/07/13","Lewis"
"15792_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"15811_WSDA_SF_2017","wsda","drip","caneberry","2017/07/12","Lewis"
"15876_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15924_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"15942_WSDA_SF_2017","wsda","drip","caneberry","2017/09/14","Clark"
"15973_WSDA_SF_2017","wsda","drip","caneberry","2017/10/13","Clark"
"15978_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/14","Clark"
"15983_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/10/12","Clark"
"15986_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16013_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16018_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16020_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16040_WSDA_SF_2017","wsda","drip","caneberry","2017/09/12","Clark"
"16044_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16122_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/04/28","Lewis"
"16130_WSDA_SF_2017","wsda","big gun","corn, field","2017/10/12","Clark"
"16153_WSDA_SF_2017","wsda","big gun","pea, green","2017/05/11","Lewis"
"16156_WSDA_SF_2017","wsda","sprinkler","corn, sweet","2017/09/15","Pierce"
"16165_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"16332_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16348_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16355_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16360_WSDA_SF_2017","wsda","big gun","fescue seed","2017/09/14","Clark"
"16363_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16375_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16384_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16394_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16408_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/14","Clark"
"16415_WSDA_SF_2017","wsda","big gun","fescue seed","2017/09/14","Clark"
"16477_WSDA_SF_2017","wsda","big gun","barley","2017/09/15","Clark"
"16519_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16521_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16524_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16537_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16545_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/14","Clark"
"16556_WSDA_SF_2017","wsda","sprinkler","caneberry","2017/09/14","Clark"
"16637_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"16643_WSDA_SF_2017","wsda","big gun","corn, field","2017/09/15","Clark"
"16645_WSDA_SF_2017","wsda","big gun","caneberry","2017/09/15","Clark"
"16782_WSDA_SF_2017","wsda","sprinkler","corn, field","2017/10/24","Clark"
"16826_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"16828_WSDA_SF_2017","wsda","big gun","pea, green","2017/08/09","Lewis"
"16839_WSDA_SF_2017","wsda","sprinkler","spinach seed","2017/08/09","Lewis"
"16840_WSDA_SF_2017","wsda","sprinkler","spinach seed","2017/08/09","Lewis"
"16841_WSDA_SF_2017","wsda","big gun","wheat","2017/08/09","Lewis"
"16902_WSDA_SF_2017","wsda","sprinkler","cranberry","2017/08/15","Pierce"
"16908_WSDA_SF_2017","wsda","big gun","corn, field","2017/10/11","Clark"
"16909_WSDA_SF_2017","wsda","big gun","corn, field","2017/10/11","Clark"
"17039_WSDA_SF_2017","wsda","big gun","rhubarb","2017/09/15","Pierce"
"17069_WSDA_SF_2017","wsda","big gun","barley","2017/08/09","Lewis"
"17075_WSDA_SF_2017","wsda","center pivot","corn, field","2017/07/12","Lewis"
"17082_WSDA_SF_2017","wsda","big gun","pea, dry","2017/07/13","Lewis"
"17099_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/12","Lewis"
"17102_WSDA_SF_2017","wsda","sprinkler/wheel line","cucumber","2017/08/15","Pierce"
"17103_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"17104_WSDA_SF_2017","wsda","sprinkler","cabbage","2017/09/15","Pierce"
"17110_WSDA_SF_2017","wsda","big gun","corn, field","2017/07/26","Lewis"
"17114_WSDA_SF_2017","wsda","big gun","barley","2017/08/09","Lewis"
"17125_WSDA_SF_2017","wsda","sprinkler","spinach seed","2017/08/09","Lewis"
