lat,long
48.40625,-119.65625
47.40625,-118.21875
47.71875,-118.65625
47.09375,-119.53125
46.78125,-120.53125
47.34375,-115.65625
46.15625,-121.03125
46.03125,-117.96875
46.09375,-121.21875
