city,lat,long,location
East Oroville,48.96875,-119.40625,48.96875_-119.40625
Quincy,47.21875,-119.90625,47.21875_-119.90625
Richland,46.34375,-119.21875,46.34375_-119.21875
Wapato,46.46875,-120.40625,46.46875_-120.40625
Wenatchee,47.40625,-120.34375,47.40625_-120.34375
